message,freq,data,authors,retweeted_authors
rt @agidgov: #pasocial domani 17/11 stati generali della comunicazione pubblica #savethedate https://t.co/jcx6ebnxbt https://t.co/yyg3jt8pkv,9,2015-11-16,fmdigitale,
rt @andreacritico: hastag da seguire oggi anche per parchi che comunicano ambiente e futuro #pasocial https://t.co/9xjn38ebvn,9,2015-11-17,piemonteparchi,
rt @arpalazio: domani convegno su #pasocial organizzato da @palazzo_chigi @agidgov e @italia_sicura: https://t.co/lmwzeqt5b5 https://t.co/c…,9,2015-11-17,muttleysvers,
"rt @cittadiniditwtt: caterina perniconi di @mipaafsocial ""se cittadini ignorano funzionamento #pa, è perché questa non ha saputo spiegarsi …",9,2015-11-17,belcinque,
"rt @cittadiniditwtt: .@liviacolare @twitteritalia ""le istituzioni non devono stare vicino ai cittadini, le istituzioni sono i cittadini"" #p…",9,2015-11-17,antonellola,
"rt @cittadiniditwtt: mauro grassi, direttore @italia_sicura ""i lavori pubblici devono essere comunicati ai cittadini, devono essere dei cit…",9,2015-11-17,BPantaleone,
rt @crpiemonte: digital day e nuova comunicazione. il consiglio a #italiandigitalday e #pasocial https://t.co/w0scto9zdb @digitalchampita @…,9,2015-11-17,FalcionelliFede,
rt @iononrischio: fabrizio curcio capo dipartimento della #protezionecivile interviene a #pasocial #socialprociv #iononrischio https://t.co…,9,2015-11-17,giornaleprociv,
"rt @iononrischio: oggi comunicazione di #protezionecivile deve intercettare la vita delle comunità con nuovi strumenti, che permettono inte…",9,2015-11-17,giornaleprociv,
"rt @marchetourism: ""twitter rimuove totalmente le barriere tra le istituzioni e le persone"" @liviacolare di twitter italia #pasocial",9,2015-11-17,BarbaraBarilla,
rt @matera2019: social network strumento di relazione. non esiste a senso unico! https://t.co/pj7m73ddsm anche #matera2019 x #pasocial @cit…,9,2015-11-17,FalcionelliFede,
"rt @yleniagifuni: la strategia del social media manager è basata sulle persone, non si deve essere pr e condividere solo comunicati stampa …",9,2015-11-17,pianetaexpo2015,
rt @cittadiniditwtt: .@alemiglioz: il #socialmediamanager di un ministero non è un portavoce. lavora in una redazione e prevale necessità d…,8,2015-11-17,AleMiglioz,
"rt @cittadiniditwtt: curcio, capo dipartimento prociv ""in caso di emergenza, social sono grande responsabilità, da informazioni dipende sic…",8,2015-11-17,antonellola,
"rt @cittadiniditwtt: .@diegociulli ""le info delle #pasocial devono essere estremamente specifiche, chiare e devono risolvere problemi e all…",8,2015-11-17,LombRacx,
rt @cittadiniditwtt: in diretta su #periscope: @annamasera capo ufficio stampa camera dei deputati a #pasocial https://t.co/ypivs3zfqr,8,2015-11-17,francescaquiri,
rt @cittadiniditwtt: in diretta su #periscope: fabrizio curcio capo dipartimento protezione civile a #pasocial https://t.co/e8ho9fh39r,8,2015-11-17,Ossmeteobargone,
"rt @danmor62: #pasocial  la comunicazione vecchia o nuova rimane mezzo non fine @elisacalessi senza ""ciccia"" resta ""fuffa"". post it sempre …",8,2015-11-17,MAFlumero,
"rt @fdicos10: #pasocial il 17/11 stati generali nuova comunicazione pubblica con antonio samaritani, @grassi1951, fabrizio curcio https://t…",8,2015-11-11,andvaccaro,
"rt @iononrischio: fabrizio curcio, capo dipartimento della protezionecivile interviene a #pasocial #socialprociv https://t.co/w55btlelnb",8,2015-11-17,giornaleprociv,
rt @iononrischio: #postiglione invita le istituzioni presenti a #pasocial ad aderire a #socialprociv https://t.co/ykirfrww8h,8,2015-11-17,ProCivCalderara,
rt @iononrischio: #postiglione racconta il progetto #socialprociv una community aperta e responsabile sui temi protezionecivile #pasocial,8,2015-11-17,danteferraris,
